,name,type,location,rating,num_ratings,age,price,abv,style,cask,flavor_summary,expert,score,Smoky,Peaty,Spicy,Herbal,Oily,Full-bodied,Rich,Sweet,Briny,Salty,Vanilla,Tart,Fruity,Floral
906,Leopold Bros. Straight Bourbon,Bourbon,"Leopold Bros. // Colorado , USA",3.68,7,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Amanda Schuster,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
907,Abraham Bowman Double Barrel Bourbon,Bourbon,"A. Smith Bowman // Virginia, USA",3.86,29,7.2 years ,3,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",new oak,Sweet & Spicy,Amanda Schuster,90,0.0,0.0,65.0,0.0,0.0,60.0,60.0,80.0,0.0,0.0,20.0,0.0,25.0,0.0
908,Smooth Ambler Big Level Wheated Bourbon,Bourbon,"Smooth Ambler // West Virginia, USA",3.1,167,NAS,3,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet & Spicy,Amanda Schuster,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
909,Medley's Private Stock 10 Year Bourbon,Bourbon,"Medley's // Kentucky, USA",3.57,17,10 Year,3,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","New, charred American Oak",Sweet & Spicy,Amanda Schuster,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910,Garrison Brothers Cowboy Bourbon (2018 Release),Bourbon,"Garrison Brothers // Texas, USA",4.29,41,NAS,5,66.95,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Full Bodied & Vanilla,Jake Emen,92,30.0,0.0,70.0,40.0,50.0,90.0,60.0,60.0,0.0,0.0,80.0,0.0,0.0,0.0
911,Forged Oak 15 Year Bourbon,Bourbon,"Orphan Barrel Whisky Co. // Kentucky (bottled in Tennessee), USA",4.02,357,15 Year,4,45.25,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy & Vanilla,Keith Allison,87,30.0,0.0,80.0,30.0,0.0,70.0,70.0,60.0,0.0,2.0,70.0,30.0,60.0,50.0
912,Parker's Heritage Cognac Barrel Finish 10 Year Bourbon,Bourbon,"Parker's Heritage Collection // Kentucky, USA",4.27,15,10 Year,3,50.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred american oak / french Limousin ex-cognac",Rich & Full Bodied,Distiller Staff,96,10.0,0.0,40.0,20.0,90.0,90.0,90.0,70.0,0.0,0.0,70.0,20.0,30.0,80.0
913,Four Roses Limited Edition 50th Anniversary Small Batch Bourbon (2017),Bourbon,"Four Roses // Kentucky, USA",4.67,163,NAS,4,54.3,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Vanilla & Rich,Jake Emen,94,30.0,0.0,50.0,10.0,0.0,70.0,80.0,70.0,0.0,10.0,90.0,40.0,40.0,10.0
914,Laws Four Grain Straight Bourbon,Bourbon,"Laws Whiskey House // Colorado, USA",3.64,273,NAS,3,47.5,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet & Full Bodied,Amanda Schuster,82,15.0,0.0,50.0,5.0,10.0,70.0,60.0,70.0,0.0,0.0,30.0,5.0,30.0,0.0
915,Blackfly Bourbon Whiskey,Bourbon,"Gristmill Distillers // New York, USA",3.64,11,NAS,3,41.9,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Sweet,Sam Davies,80,0.0,0.0,30.0,10.0,0.0,30.0,50.0,60.0,0.0,0.0,30.0,0.0,10.0,0.0
